Game,UPC,Platform,Rating,Completion,Box,Manual,Amount,Value,Notes
Robots,''020626722353,PlayStation 2,CIB,Played,Y,Y,1,6.50,
Robots,''020626722353,PlayStation 2,CIB,Played,Y,Y,1,6.50,
Scarface: The World is Yours,''020626722810,PlayStation 2,CIB,Played,Y,Y,1,33.06,
Zoocube,''021481652977,Nintendo GameCube,CIB,Not started,Y,Y,1,7.16,
Star Wars: The Clone Wars,''023272320355,PlayStation 2,CIB,Not started,Y,Y,1,10.50,
Star Wars: Battlefront [Greatest Hits],''023272324353,PlayStation 2,CIB,Finished,Y,Y,1,11.59,
Star Wars Episode III: Revenge of the Sith [Greatest Hits],''023272327354,PlayStation 2,CIB,Played,Y,Y,1,7.99,
Star Wars: Battlefront 2 [Greatest Hits],''023272328351,PlayStation 2,CIB,Finished,Y,Y,1,12.79,
Star Wars: Battlefront 2,''023272328399,PlayStation Portable,CIB,Not started,Y,Y,1,10.77,
Lego Star Wars: The Complete Saga,''023272330385,PlayStation 3,CIB,Played,Y,Y,1,23.40,
Star Wars: The Force Unleashed,''023272332648,Nintendo Wii,CIB,Not started,Y,Y,1,6.01,
LEGO Indiana Jones: The Original Adventures,''023272333355,PlayStation 2,CIB,Finished,Y,Y,1,6.99,
LEGO Indiana Jones: The Original Adventures,''023272333614,Nintendo DS,CIB,Not started,Y,Y,1,5.51,
Star Wars Battlefront: Elite Squadron,''023272335397,PlayStation Portable,CIB,Not started,Y,Y,1,12.42,
LEGO Indiana Jones 2: The Adventure Continues,''023272339371,PlayStation Portable,CIB,Finished,Y,Y,1,5.95,
LEGO Indiana Jones 2: The Adventure Continues,''023272339630,Nintendo Wii,CIB,Finished,Y,Y,1,7.07,
Star Wars: The Force Unleashed 2,''023272341763,XBOX 360,CIB,Not started,Y,Y,1,12.25,
LEGO Star Wars III: The Clone Wars,''023272342760,XBOX 360,CIB,Finished,Y,Y,1,10.15,
Wrath Unleashed,''023272402358,PlayStation 2,Loose,Not started,N,N,1,5.84,Temporary case
Star Wars: Starfighter,''023272655358,PlayStation 2,CIB,Not started,Y,Y,1,6.92,
Star Wars: Bounty Hunter,''023272659356,PlayStation 2,CIB,Not started,Y,Y,1,12.81,
Spy Hunter,''031719268238,PlayStation 2,CIB,Played,Y,Y,1,5.88,
Goblin Commander,''032264192016,PlayStation 2,CIB,Not started,Y,Y,1,8.49,
Crimson Sea 2,''040198001304,PlayStation 2,Loose,Not started,N,N,1,7.61,
Dynasty Warriors 6,''040198001793,XBOX 360,CIB,Not started,Y,Y,1,6.36,
The Legend of Zelda: Breath of the Wild,''045496590420,Nintendo Switch,CIB,Played,Y,Y,1,44.75,
Super Mario Odyssey,''045496590741,Nintendo Switch,CIB,Finished,Y,Y,1,47.00,
Xenoblade Chronicles 2,''045496591595,Nintendo Switch,CIB,On hold,Y,Y,1,46.92,
Fire Emblem Warriors,''045496591632,Nintendo Switch,CIB,Played,Y,Y,1,20.96,
Bayonetta 2,''045496591861,Nintendo Switch,CIB,Finished,Y,Y,1,36.00,
Super Smash Bros. Ultimate,''045496592998,Nintendo Switch,CIB,Played,Y,Y,1,49.00,
Fire Emblem: Three Houses,''045496593858,Nintendo Switch,CIB,Finished,Y,Y,1,47.48,
"Pokémon: Let's Go, Pikachu!",''045496593940,Nintendo Switch,CIB,Played,Y,Y,1,51.00,
Animal Crossing New Horizons,''045496596439,Nintendo Switch,CIB,In progress,Y,Y,1,54.75,
Pokémon Shield,''045496596620,Nintendo Switch,CIB,In progress,Y,Y,1,46.11,
Tokyo Mirage Sessions FE Encore,''045496596927,Nintendo Switch,CIB,In progress,Y,Y,1,45.00,
Pokemon Mystery Dungeon Rescue Team DX,''045496597054,Nintendo Switch,SIB,Not started,Y,Y,1,49.97,
Game Boy Color - Yellow,''045496710798,Console,Loose,N/A,N,N,1,49.50,
Nintendo DSi - Black,''045496718749,Console,Loose,N/A,N,N,1,40.50,
Pokémon Red,''045496730734,Nintendo GB,Loose,Not started,N,N,1,22.87,
Pokémon Yellow Version,''045496730895,Nintendo GB,Loose,Not started,N,N,1,24.63,
Super Mario Bros. Deluxe,''045496730925,Nintendo GBC,Loose,Not started,N,N,1,13.74,
Pokémon Gold Version,''045496731212,Nintendo GBC,Loose,Not started,N,N,1,22.35,
Pokémon Silver Version,''045496731229,Nintendo GBC,Loose,Not started,N,N,1,23.46,
Pokémon Crystal Version,''045496731472,Nintendo GBC,Loose,Finished,N,N,1,48.26,
The Legend of Zelda: A Link to the Past,''045496731823,Nintendo GBA,Loose,Not started,N,N,1,18.95,
"Wario Ware, Inc.: Mega Microgames",''045496732370,Nintendo GBA,Loose,Played,N,N,1,20.94,
Pokémon Sapphire Version,''045496732547,Nintendo GBA,Loose,Finished,N,N,1,28.48,
Final Fantasy Tactics Advance,''045496733377,Nintendo GBA,Loose,Finished,N,N,1,17.51,
Final Fantasy Tactics Advance,''045496733377,Nintendo GBA,CIB,Finished,Y,Y,1,46.56,
Final Fantasy Tactics Advance,''045496733377,Nintendo GBA,CIB,Finished,Y,Y,1,46.56,
Pokémon: FireRed Version,''045496734114,Nintendo GBA,CIB,Finished,Y,Y,1,116.05,
Pokémon Leafgreen Version,''045496734121,Nintendo GBA,Loose,Finished,N,N,1,41.73,
GBA Video Pokemon: For Ho-Oh The Bells Toll and A Hot Water Battle,''045496734138,Nintendo GBA,Loose,Finished,N,N,1,5.96,
Pokémon Emerald Version,''045496735302,Nintendo GBA,Loose,Finished,N,N,1,66.92,
Pokémon Dash (PAL),''045496735319,Nintendo DS,CIB,Played,Y,Y,1,15.06,
Animal Crossing: Wild World,''045496735920,Nintendo DS,CIB,Played,Y,Y,1,32.50,
Nintendogs: Chihuahua & Friends,''045496736439,Nintendo DS,CIB,Not started,Y,Y,1,7.75,
Big Brain Academy,''045496737085,Nintendo DS,CIB,Not started,Y,Y,1,4.08,
Pokémon Trozei,''045496737146,Nintendo DS,CIB,Played,Y,Y,1,13.56,
New Super Mario Bros.,''045496737320,Nintendo DS,CIB,Not started,Y,Y,1,16.09,
Mario Hoops 3 on 3,''045496737344,Nintendo DS,CIB,Not started,Y,Y,1,13.98,
Pokémon Ranger,''045496737368,Nintendo DS,CIB,Finished,Y,Y,1,20.00,
Pokémon Mystery Dungeon: Blue Rescue Team,''045496737733,Nintendo DS,CIB,Finished,Y,Y,1,24.11,
Yoshi's Island DS,''045496738167,Nintendo DS,CIB,Not started,Y,Y,1,20.72,
Pokémon Diamond Version,''045496738501,Nintendo DS,Loose,Finished,N,N,1,35.00,
Pokémon Mystery Dungeon: Explorers of Darkness,''045496739690,Nintendo DS,CIB,Finished,Y,Y,1,19.35,
Pokémon Ranger: Shadows of Almia,''045496739959,Nintendo DS,Loose,Finished,N,N,1,12.78,
Fossil Fighters,''045496740412,Nintendo DS,CIB,Finished,Y,Y,1,27.13,
Pokémon Mystery Dungeon: Explorers of Sky,''045496740467,Nintendo DS,CIB,Finished,Y,Y,1,79.59,
Pokemon SoulSilver Version,''045496740634,Nintendo DS,Loose,Finished,N,N,1,75.30,
Pokémon Heartgold Version,''045496740641,Nintendo DS,CIB,Finished,Y,Y,1,119.11,
Pokémon Ranger: Guardian Signs,''045496741051,Nintendo DS,Loose,Finished,N,N,1,15.00,
Pokémon Rumble Blast,''045496741709,Nintendo 3DS,CIB,Played,Y,Y,1,12.53,
Fossil Fighters: Champions,''045496741761,Nintendo DS,Loose,On hold,N,N,1,37.02,
Pokémon Black 2 Version,''045496742010,Nintendo DS,Loose,Finished,N,N,1,73.48,
Pokémon Y,''045496742508,Nintendo 3DS,CIB,Finished,Y,Y,1,26.50,
Super Smash Bros. 3DS,''045496742904,Nintendo 3DS,CIB,Not started,Y,Y,1,16.26,
Pokémon Omega Ruby,''045496742928,Nintendo 3DS,CIB,Finished,Y,Y,1,32.50,
Fire Emblem Fates: Birthright,''045496743154,Nintendo 3DS,CIB,Finished,Y,Y,1,28.50,
Pokémon Sun Version,''045496743932,Nintendo 3DS,Loose,Finished,N,N,1,15.81,
Pokémon Moon,''045496743949,Nintendo 3DS,CIB,Finished,Y,Y,1,16.78,
Nintendo 3DS XL - Majora's Mask Limited Edition,''045496781576,Console,CIB,N/A,Y,Y,1,204.99,
Super Mario 64,''045496870010,Nintendo 64,Loose,Not started,N,N,1,47.39,
Mario Kart 64,''045496870027,Nintendo 64,Loose,Not started,N,N,1,43.99,
The Legend of Zelda: Ocarina of Time,''045496870041,Nintendo 64,Loose,Not started,N,N,1,40.98,
Starfox 64,''045496870270,Nintendo 64,Loose,Not started,N,N,1,21.00,
Star Wars Episode I Racer,''045496870416,Nintendo 64,Loose,Not started,N,N,1,9.99,
Pokémon Snap,''045496870478,Nintendo 64,Loose,Not started,N,N,1,17.92,
Pokémon Stadium,''045496870508,Nintendo 64,Loose,Not started,N,N,1,25.93,
The Legend of Zelda: Majora's Mask [Collector's Edition],''045496870775,Nintendo 64,Loose,Not started,N,N,1,57.29,
Pokémon Battle Revolution,''045496900168,Nintendo Wii,CIB,Finished,Y,Y,1,19.99,
Mario Kart Wii,''045496901011,Nintendo Wii,CIB,Played,Y,Y,1,38.00,
Poképark Wii: Pikachu's Adventure,''045496901950,Nintendo Wii,CIB,Played,Y,Y,1,26.01,
Pokémon Ultra Sun,''045496904555,Nintendo 3DS,CIB,Finished,Y,Y,1,36.73,
Starfox Adventures,''045496960063,Nintendo GameCube,CIB,Not started,Y,Y,1,27.74,
Magical Mirror starring Mickey Mouse,''045496960360,Nintendo GameCube,CIB,Not started,Y,Y,1,12.46,
Animal Crossing,''045496960490,Nintendo GameCube,CIB,Not started,Y,Y,1,78.05,
Pokémon Colosseum,''045496961367,Nintendo GameCube,CIB,Finished,Y,Y,1,59.97,
Pokémon Channel,''045496961473,Nintendo GameCube,CIB,Played,Y,Y,1,22.00,
Pokémon XD: Gale of Darkness,''045496963040,Nintendo GameCube,CIB,Finished,Y,Y,1,80.50,
Digimon: Rumble Arena 2,''045557184056,Nintendo GameCube,CIB,Played,Y,Y,1,76.72,
Shamu's Deep Sea Adventures,''047875751217,Nintendo DS,CIB,Not started,Y,Y,1,4.47,
World Series of Poker,''047875752139,PlayStation 2,CIB,Not started,Y,Y,1,4.37,
Pimp my Ride,''047875752979,PlayStation 2,CIB,Played,Y,Y,1,6.00,
Shaun Palmer's Pro Snowboarder,''047875801837,PlayStation 2,CIB,Played,Y,Y,1,4.68,
Tony Hawk's Pro Skater 3,''047875801950,Nintendo GameCube,CIB,Not started,Y,Y,1,16.99,
Spider-Man,''047875803015,PlayStation 2,CIB,Played,Y,Y,1,9.04,
Tony Hawk's Pro Skater 4,''047875804074,Nintendo GameCube,CIB,Not started,Y,Y,1,16.33,
True Crime: Streets of LA,''047875804272,PlayStation 2,CIB,Played,Y,Y,1,8.82,
Return to Castle Wolfenstein,''047875804456,PlayStation 2,CIB,Not started,Y,Y,1,9.99,
Spider-Man 2,''047875805910,Nintendo GBA,Loose,Played,N,N,1,4.97,
Tony Hawk's Underground [Greatest Hits],''047875806399,PlayStation 2,CIB,Played,Y,Y,1,16.94,
Shark Tale,''047875806979,PlayStation 2,CIB,Played,Y,Y,1,5.99,
Madagascar,''047875807570,PlayStation 2,CIB,Played,Y,Y,1,7.11,
Tony Hawk's Underground 2,''047875808072,Nintendo GameCube,CIB,Not started,Y,Y,1,20.67,
Shrek Superslam,''047875809772,PlayStation 2,Loose,Not started,N,N,1,4.69,Temporary case
True Crime: New York City,''047875813410,PlayStation 2,CIB,Played,Y,Y,1,16.00,
Transformers: Autobots,''047875819832,Nintendo DS,CIB,Not started,Y,Y,1,5.88,
Call of Duty: World at War,''047875834453,XBOX 360,CIB,Not started,Y,Y,1,8.50,
Prototype,''047875836174,XBOX 360,CIB,Played,Y,Y,1,4.90,
Blur,''047875837331,XBOX 360,CIB,Played,Y,Y,1,20.00,
Call of Duty: Modern Warfare 2,''047875837478,PlayStation 3,CIB,Played,Y,Y,1,6.38,
Call of Duty: Modern Warfare 2,''047875837577,XBOX 360,CIB,Finished,Y,Y,1,7.54,
Transformers: Dark of the Moon,''047875841345,XBOX 360,CIB,Finished,Y,Y,1,10.01,
Transformers: Fall of Cybertron,''047875843387,XBOX 360,CIB,Finished,Y,Y,1,23.35,
Call of Duty: Modern Warfare 3,''047875845596,XBOX 360,CIB,Finished,Y,Y,1,6.98,
Transformers: Rise of the Dark Spark,''047875849488,PlayStation 4,CIB,Not started,Y,Y,1,36.59,
Overwatch,''047875877603,PlayStation 4,CIB,Not started,Y,Y,1,19.44,
Call of Duty: Black Ops,''047875881853,XBOX 360,CIB,Finished,Y,Y,1,9.39,
Call of Duty: Black Ops,''047875881853,XBOX 360,CIB,Finished,Y,Y,1,9.39,
Diablo III: Eternal Collection,''047875883437,Nintendo Switch,CIB,Played,Y,Y,1,37.86,
Guitar Hero On Tour,''047875953956,Nintendo DS,Loose,Not started,N,N,1,2.00,
Guitar Hero: World Tour,''047875955530,Nintendo Wii,CIB,Not started,Y,Y,1,12.99,
Guitar Hero On Tour: Decades,''047875955554,Nintendo DS,Loose,Not started,N,N,1,3.39,
Guitar Hero 5,''047875958890,Nintendo Wii,CIB,Not started,Y,Y,1,20.99,
Naruto: Clash of Ninja Revolution,''053941704018,Nintendo Wii,CIB,Not started,Y,Y,1,7.02,
Yu-Gi-Oh: The Eternal Duelist Soul,''061902101509,Nintendo GBA,Loose,Not started,N,N,1,8.88,
Yu-Gi-Oh: Dark Duel Stories,''083717141044,Nintendo GBC,Loose,Not started,N,N,1,5.44,
DDRMAX Dance Dance Revolution,''083717200413,PlayStation 2,CIB,Not started,Y,Y,1,7.63,
Yu-Gi-Oh: Duelists of the Roses,''083717200437,PlayStation 2,CIB,Played,Y,Y,1,18.99,
McFarlane's Evil Prophecy,''083717200574,PlayStation 2,CIB,Not started,Y,Y,1,8.99,
Yu-Gi-Oh GX: The Beginning of Destiny,''083717201557,PlayStation 2,CIB,Played,Y,Y,1,20.22,
Metal Gear Solid 4: Guns of the Patriots,''083717201601,PlayStation 3,CIB,Not started,Y,Y,1,5.99,
Metal Gear Solid V: The Phantom Pain,''083717202783,PlayStation 4,CIB,Not started,Y,Y,1,11.82,
Yu-Gi-Oh GX: Spirit Caller,''083717241201,Nintendo DS,CIB,Not started,Y,Y,1,13.52,
Yu-Gi-Oh: World Championship 2007,''083717241232,Nintendo DS,CIB,Not started,Y,Y,1,13.77,
Yu-Gi-Oh: World Championship 2008,''083717241324,Nintendo DS,Loose,Not started,N,N,1,13.28,
Yu-Gi-Oh 5D's Stardust Accelerator: World Championship Tournament 2009,''083717241560,Nintendo DS,CIB,Not started,Y,Y,1,15.00,
Foto Showdown,''083717241638,Nintendo DS,CIB,On hold,Y,Y,1,18.29,
Yu-Gi-Oh GX Tag Force 2,''083717260356,PlayStation Portable,CIB,Not started,Y,Y,1,23.57,
Yu-Gi-Oh 5D's Tag Force 4,''083717260530,PlayStation Portable,CIB,Not started,Y,Y,1,19.25,
Yu-Gi-Oh 5D's Tag Force 5,''083717260622,PlayStation Portable,CIB,Not started,Y,Y,1,23.98,
Yu-Gi-Oh: Dawn of Destiny,''083717300281,XBOX,CIB,Not started,Y,Y,1,10.13,
Yu-Gi-Oh Falsebound Kingdom [Player's Choice],''083717400158,Nintendo GameCube,CIB,Not started,Y,Y,1,13.47,
Yu-Gi-Oh 5D's Duel Transer,''083717400998,Nintendo Wii,CIB,Not started,Y,Y,1,8.28,
Yu-Gi-Oh: Stairway to the Destined Duel [Worldwide Edition],''083717500391,Nintendo GBA,Loose,Not started,N,N,1,5.82,
Yu-Gi-Oh: Reshef of Destruction,''083717500452,Nintendo GBA,Loose,Not started,N,N,1,7.38,
Yu-Gi-Oh: 7 Trials to Glory,''083717500513,Nintendo GBA,Loose,Not started,N,N,1,8.88,
Yu-Gi-Oh GX: Duel Academy,''083717500674,Nintendo GBA,Loose,Not started,N,N,1,15.65,
Yu-Gi-Oh: Ultimate Masters: World Championship Tournament 2006,''083717500728,Nintendo GBA,Loose,Not started,N,N,1,7.97,
Yu-Gi-Oh: Double Pack 2,''083717500766,Nintendo GBA,Loose,Not started,N,N,1,6.80,
Brink,''093155117044,XBOX 360,CIB,Played,Y,Y,1,4.22,
Dishonored,''093155117969,XBOX 360,CIB,Played,Y,Y,1,5.17,
Breeders' Cup World Thoroughbred Championships,''093155119604,PlayStation 2,CIB,Not started,Y,Y,1,5.61,
Fallout: New Vegas,''093155129030,PlayStation 3,CIB,Not started,Y,Y,1,7.44,
Fallout 3 (Game of the Year Edition),''093155129689,PlayStation 3,CIB,Not started,Y,Y,1,12.00,
Fallout 4,''093155170414,PlayStation 4,CIB,In progress,Y,Y,1,8.99,
Fallout 4,''093155170421,XBOX One,CIB,In progress,Y,Y,1,7.68,
The Elder Scrolls V: Skyrim (Special Edition),''093155171251,PlayStation 4,CIB,Played,Y,Y,1,23.38,
GBA Video Sonic X: A Super Sonic Hero,''096427013501,Nintendo GBA,Loose,Finished,N,N,1,7.02,
Smash Cars,''650001333159,PlayStation 2,CIB,Not started,Y,Y,1,7.99,
Beyblade: Let it Rip,''650008199215,PlayStation,CIB,Not started,Y,Y,1,5.00,
World Championship Poker,''650008399264,PlayStation 2,CIB,Not started,Y,Y,1,3.77,
MX World Tour,''650008399288,PlayStation 2,CIB,Not started,Y,Y,1,4.85,
Final Fantasy X-2,''662248903057,PlayStation 2,CIB,Not started,Y,Y,1,6.21,
Final Fantasy XII,''662248904078,PlayStation 2,CIB,Not started,Y,Y,1,6.23,
Fullmetal Alchemist: Broken Angel,''662248904092,PlayStation 2,CIB,Not started,Y,Y,1,13.33,
Final Fantasy Tactics: The War of the Lions,''662248907116,PlayStation Portable,CIB,Played,Y,Y,1,16.37,
Dissidia: Final Fantasy,''662248909028,PlayStation Portable,Loose,Finished,N,N,1,7.33,
Kingdom Hearts: Birth by Sleep,''662248910086,PlayStation Portable,CIB,Not started,Y,Y,1,17.48,
Kane & Lynch 2: Dog Days,''662248910109,PlayStation 3,CIB,Not started,Y,Y,1,6.66,
Dissidia 012: Duodecim Final Fantasy,''662248910369,PlayStation Portable,CIB,Played,Y,Y,1,14.10,
Sleeping Dogs,''662248912127,XBOX 360,CIB,Finished,Y,Y,1,5.51,
Kingdom Hearts HD 1.5 Remix,''662248913315,PlayStation 3,CIB,Dropped,Y,Y,1,9.50,
Final Fantasy XIV Online: A Realm Reborn,''662248913537,PlayStation 4,Loose,Played,N,N,1,8.20,
Final Fantasy X|X-2 HD Remaster,''662248914596,PlayStation Vita,CIB,Played,Y,Y,1,15.51,
Final Fantasy XV,''662248915012,PlayStation 4,CIB,Played,Y,Y,1,8.95,
Kingdom Hearts HD 2.5 Remix (Limited Edition),''662248915180,PlayStation 3,CIB,Not started,Y,Y,1,19.35,
Final Fantasy Type-0 HD,''662248915234,PlayStation 4,CIB,Not started,Y,Y,1,9.45,
Deus Ex: Mankind Divided,''662248916361,PlayStation 4,CIB,Not started,Y,Y,1,5.76,
World of Final Fantasy,''662248917474,PlayStation 4,CIB,In Progress,Y,Y,1,13.20,
World of Final Fantasy,''662248917511,PlayStation Vita,Loose,In progress,N,N,1,13.15,
