Game,UPC,Platform,Rating,Completion,Box,Manual,Amount,Value,Notes
Pokémon Shield,'045496596620,Nintendo Switch,CIB,In Progress,Y,Y,1,41.76,
"Pokémon: Let's Go, Pikachu!",'045496593940,Nintendo Switch,CIB,In Progress,Y,Y,1,44.61,
Star Wars Battlefront 2 (Elite Trooper Deluxe Edition),'014633372311,PlayStation 4,CIB,Finished,Y,Y,1,16.36,
Star Wars Jedi: Fallen Order (Deluxe Edition),'014633376159,PlayStation 4,CIB,Finished,Y,Y,1,44.18,
Super Mario Odyssey,'045496590741,Nintendo Switch,CIB,Finished,Y,Y,1,41.19,
Super Smash Bros. Ultimate,'045496592998,Nintendo Switch,CIB,N/A,Y,Y,1,48.44,
Sword Art Online: Lost Song,'722674120326,PlayStation 4,CIB,Not Started,Y,Y,1,11.28,
The Binding of Isaac: Afterbirth +,'867528000307,Nintendo Switch,CIB,Finished,Y,Y,1,33.50,
The Elder Scrolls V: Skyrim (Special Edition),'093155171251,PlayStation 4,CIB,In Progress,Y,Y,1,16.84,
The Legend of Zelda: Breath of the Wild,'045496590420,Nintendo Switch,CIB,Finished,Y,Y,1,48.03,
Tokyo Mirage Sessions FE Encore,'045496596927,Nintendo Switch,CIB,Not Started,Y,Y,1,40.50,
Transformers: Rise of the Dark Spark,'047875849488,PlayStation 4,CIB,Not Started,Y,Y,1,27.01,
Uncharted 4: A Thief's End,'711719047292,PlayStation 4,CIB,Finished,Y,Y,1,9.99,
Watch Dogs,'008888358046,PlayStation 4,CIB,Finished,Y,Y,1,8.26,
Watch Dogs 2,'887256022884,PlayStation 4,CIB,Finished,Y,Y,1,11.38,
World of Final Fantasy,'662248917474,PlayStation 4,CIB,In Progress,Y,Y,1,11.77,
Xenoblade Chronicles 2,'045496591595,Nintendo Switch,CIB,In Progress,Y,Y,1,40.62,
Yakuza Kiwami,'010086632149,PlayStation 4,CIB,In Progress,Y,Y,1,17.27,
Hatsune Miku Project Dive F2nd,'010086620061,PSVita,CIB,Finished,Y,Y,1,22.00,
Senran Kagura: Shinovi Versus (Let's Get Physical Version),'853466001698,PSVita,CIB,In Progress,Y,Y,1,47.78,
Tales of Hearts R,'722674150415,PSVita,CIB,In Progress,Y,Y,1,24.83,
Virtue's Last Reward,'893610001624,PSVita,CIB,In Progress,Y,Y,1,12.64,
Ys: Memories of Celceta,'853466001605,PSVita,CIB,In Progress,Y,Y,1,23.78,
Danganronpa: Trigger Happy Havoc,'813633013466,PSVita,CIB,Finished,Y,Y,1,22.00,
Danganronpa 2: Goodbye Despair,'813633013879,PSVita,CIB,Finished,Y,Y,1,24.87,
Danganronpa Another Episode: Ultra Despair Girls,'813633015170,PSVita,CIB,Finished,Y,Y,1,24.99,
Danganronpa V3: Killing Harmony,'813633019109,PSVita,CIB,Finished,Y,Y,1,41.48,
Dengeki Buno: Fighting Climax,'010086620092,PSVita,CIB,In Progress,Y,Y,1,18.88,
Disgaea 3: Absence of Detention,'813633011516,PSVita,CIB,Not Started,Y,Y,1,15.70,
Final Fantasy X|X-2 HD Remaster,'662248914596,PSVita,CIB,In Progress,Y,Y,1,14.36,
Lost Dimension,'730865200092,PSVita,CIB,In Progress,Y,Y,1,23.49,
Modnation Racers: Roadtrip,'711719220015,PSVita,CIB,In Progress,Y,Y,1,9.77,
Muramasa: rebirth,'893610001709,PSVita,CIB,In Progress,Y,Y,1,24.99,
One Piece: Unlimited World R (Day One Edition),'722674150446,PSVita,CIB,In Progress,Y,Y,1,22.76,
Persona 4 Golden,'730865200009,PSVita,CIB,Finished,Y,Y,1,34.26,
Persona 4: Dancing All Night (Disco Fever Edition),'730865200085,PSVita,CIB,Finished,Y,Y,1,20.50,
Pokémon Red,'045496730734,Gameboy,CIB,N/A,Y,Y,1,86.69,
Fossil Fighters,'045496740412,DS,CIB,Finished,Y,Y,1,23.47,
Fire Emblem Fates: Birthright,'045496743154,3DS,CIB,Finished,Y,Y,1,26.86,
Monster Hunter 3 Ultimate,'013388305100,3DS,CIB,Not Started,Y,Y,1,8.49,
Persona Q: Shadow of the Labyrinth (with Tarot Cards),'730865300174,3DS,CIB,In Progress,Y,Y,1,24.62,
Pokémon Moon,'045496743949,3DS,CIB,Finished,Y,Y,1,14.89,
Pokémon Omega Ruby,'045496742928,3DS,CIB,Finished,Y,Y,1,26.84,
Pokémon Ultra Sun,'045496904555,3DS,CIB,Finished,Y,Y,1,30.86,
Pokémon Y,'045496742508,3DS,CIB,Finished,Y,Y,1,19.99,
Pokémon Rumble Blast,'045496741709,3DS,CIB,In Progress,Y,Y,1,10.70,
Super Smash Bros. 3DS,'045496742904,3DS,CIB,N/A,Y,Y,1,15.00,
Assassin's Creed III,'008888397236,PlayStation 3,CIB,N/A,Y,Y,1,4.80,
Assassin's Creed: Revelations,'008888396840,PlayStation 3,CIB,N/A,Y,Y,1,5.39,
Batman: Arkham Origins,'883929319688,PlayStation 3,CIB,N/A,Y,Y,1,5.45,
Call of Duty: Modern Warfare 2,'047875837478,PlayStation 3,CIB,N/A,Y,Y,1,7.70,
Disgaea 3: Absence of Justice,'857823001314,PlayStation 3,CIB,N/A,Y,Y,1,7.16,
Dynasty Warriors: Gundam 3,'722674110563,PlayStation 3,CIB,N/A,Y,Y,1,16.97,
Fallout 3 (Game of the Year Edition),'093155129689,PlayStation 3,CIB,N/A,Y,Y,1,10.99,
Fallout: New Vegas,'093155129030,PlayStation 3,CIB,N/A,Y,Y,1,5.82,
God of War Saga,'711719990697,PlayStation 3,CIB,N/A,Y,Y,1,12.00,
Grand Theft Auto IV,'710425370113,PlayStation 3,CIB,N/A,Y,Y,1,7.83,
The Ico & Shadow of the Colossus Collection,'711719825920,PlayStation 3,CIB,N/A,Y,Y,1,9.56,
inFamous 2,'711719812524,PlayStation 3,CIB,N/A,Y,Y,1,5.50,
Kane & Lynch 2: Dog Days,'662248910109,PlayStation 3,CIB,N/A,Y,Y,1,5.27,
Kingdom Hearts HD 1.5 Remix,'662248913315,PlayStation 3,CIB,N/A,Y,Y,1,7.33,
Kingdom Hearts HD 2.5 Remix (Limited Edition),'662248915180,PlayStation 3,CIB,N/A,Y,Y,1,18.94,
Lego Star Wars: The Complete Saga,'023272330385,PlayStation 3,CIB,N/A,Y,Y,1,17.18,
Mass Effect 3,'014633195842,PlayStation 3,CIB,N/A,Y,Y,1,6.18,
Mass Effect Trilogy [Steelbook],'014633198065,PlayStation 3,CIB,N/A,Y,Y,1,28.99,
Max Payne 3,'710425376061,PlayStation 3,CIB,N/A,Y,Y,1,7.99,
Metal Gear Solid 4: Guns of the Patriots,'083717201601,PlayStation 3,CIB,N/A,Y,Y,1,6.99,
Naruto Shippuden: Ultimate Ninja Storm Revolution,'722674111720,PlayStation 3,CIB,N/A,Y,Y,1,12.49,
Ni no Kuni: Wrath of the White Witch,'722674110716,PlayStation 3,SIB,N/A,Y,Y,1,17.24,
Red Dead Redemption,'710425375736,PlayStation 3,CIB,N/A,Y,Y,1,11.37,
Red Dead Redemption: Undead Nightmare,'710425379338,PlayStation 3,CIB,N/A,Y,Y,1,8.41,
Sly Cooper: Thieves in Time,'711719982470,PlayStation 3,CIB,N/A,Y,Y,1,12.00,
WWE Smackdown vs. Raw 2008 [Steelbook],'752919990285,PlayStation 3,CIB,N/A,Y,Y,1,23.99,
Uncharted : Drake's Fortune,'711719810322,PlayStation 3,CIB,N/A,Y,Y,1,4.64,
Uncharted 2: Among Thieves,'711719812326,PlayStation 3,CIB,N/A,Y,Y,1,5.19,
Uncharted 3: Drake's Deception,'711719823322,PlayStation 3,CIB,N/A,Y,Y,1,4.97,
Bakugen: Defenders of the Core,'047875764965,PlayStation Portable,CIB,N/A,Y,Y,1,6.97,
Final Fantasy VII Crisis Core,'662248907222,PlayStation Portable,Loose,N/A,Y,Y,1,9.14,GameStop Case
The Con,'711719862123,PlayStation Portable,CIB,N/A,Y,Y,1,4.90,
Thrillville Off the Rails,'023272406394,PlayStation Portable,CIB,N/A,Y,Y,1,5.89,
Yu-Gi-Oh 5D's Tag Force 4,'083717260530,PlayStation Portable,CIB,N/A,Y,Y,1,21.49,
Yu-Gi-Oh 5D's Tag Force 5,'083717260622,PlayStation Portable,CIB,N/A,Y,Y,1,23.99,
Yu-Gi-Oh GX Tag Force 2,'083717260356,PlayStation Portable,CIB,N/A,Y,Y,1,24.99,
The Sims 2,'014633151282,Nintendo GameCube,CIB,N/A,Y,Y,1,14.48,
The Sims 2: Pets,'014633152449,Nintendo GameCube,CIB,N/A,Y,Y,1,7.33,
Sonic Adventure 2 Battle [Player's Choice],'010086610079,Nintendo GameCube,CIB,N/A,Y,Y,1,27.78,No UPC - Used non-PC
Sonic Adventure DX,'010086610260,Nintendo GameCube,CIB,N/A,Y,Y,1,18.83,
Sonic Gems Collection,'010086610444,Nintendo GameCube,CIB,N/A,Y,Y,1,24.99,
Sonic Mega Collection [Player's Choice],'010086610239,Nintendo GameCube,CIB,N/A,Y,Y,1,9.99,No UPC - Used non-PC
